Sequence_category,model,score
human,AB-LSTM,1.1182444095611572
human,AB-LSTM,1.2287070751190186
human,AB-LSTM,1.4326921701431274
human,AB-LSTM,0.8882947564125061
human,AB-LSTM,1.0143388509750366
human,AB-LSTM,0.5148773193359375
human,AB-LSTM,0.563484787940979
human,AB-LSTM,0.6579704284667969
human,AB-LSTM,0.7273894548416138
human,AB-LSTM,0.6342664361000061
human,AB-LSTM,1.0061837434768677
human,AB-LSTM,0.576443076133728
human,AB-LSTM,0.9135362505912781
human,AB-LSTM,0.7116564512252808
human,AB-LSTM,0.965175211429596
human,AB-LSTM,0.4163857698440552
human,AB-LSTM,0.7942917346954346
human,AB-LSTM,0.8805698752403259
human,AB-LSTM,2.1941874027252197
human,AB-LSTM,1.0330294370651245
human,AB-LSTM,0.6414661407470703
human,AB-LSTM,0.3827793002128601
human,AB-LSTM,0.501055121421814
human,AB-LSTM,0.47011494636535645
human,AB-LSTM,1.0387376546859741
human,AB-LSTM,0.853544294834137
human,AB-LSTM,0.9227733016014099
human,AB-LSTM,0.5675724744796753
human,AB-LSTM,0.9965556263923645
human,AB-LSTM,0.748984694480896
human,AB-LSTM,0.594731867313385
human,AB-LSTM,0.841768205165863
human,AB-LSTM,0.5867074728012085
human,AB-LSTM,1.019045352935791
human,AB-LSTM,0.6561087965965271
human,AB-LSTM,0.928019642829895
human,AB-LSTM,0.8346579670906067
human,AB-LSTM,0.5869074463844299
human,AB-LSTM,0.6534884572029114
human,AB-LSTM,0.8211735486984253
human,AB-LSTM,0.6727784276008606
human,AB-LSTM,0.9370227456092834
human,AB-LSTM,0.8383922576904297
human,AB-LSTM,0.7235041260719299
human,AB-LSTM,1.0263123512268066
human,AB-LSTM,0.5394873023033142
human,AB-LSTM,0.9513367414474487
human,AB-LSTM,0.7692383527755737
human,AB-LSTM,1.1270663738250732
human,AB-LSTM,0.7876510620117188
human,AB-LSTM,1.1611626148223877
human,AB-LSTM,0.9001973867416382
human,AB-LSTM,0.6553182005882263
human,AB-LSTM,0.5943290591239929
human,AB-LSTM,0.9826081395149231
human,AB-LSTM,0.552166223526001
human,AB-LSTM,1.0465807914733887
human,AB-LSTM,0.41606634855270386
human,AB-LSTM,0.9084041714668274
human,AB-LSTM,0.9885206818580627
human,AB-LSTM,0.4757796823978424
human,AB-LSTM,0.6360869407653809
human,AB-LSTM,0.9440841674804688
human,AB-LSTM,0.8500524163246155
human,AB-LSTM,0.5176665186882019
human,AB-LSTM,0.5312257409095764
human,AB-LSTM,0.5431265830993652
human,AB-LSTM,0.6702590584754944
